rest_id,rest_name,locality,cuisines,cost_for_two,ratings,votes
17118013,Raj India,Clifton/Avondale,"['Indian', 'Vegetarian']",Inexpensive,3.6,7
17115255,Wildwood Pub,Fairfield,['American'],Inexpensive,3.4,6
17114763,Stacey's Place,Cheviot/Westwood,['Italian'],Moderately_priced,3.3,9
17116779,Roca Cafe,Covington,"['Breakfast', 'Sandwich']",Inexpensive,3.6,6
17114257,Pizza Chef Gourmet Pizza,Hamilton,['Pizza'],Moderately_priced,3.4,8
17117243,JoJo's Cupcakes and More,West Chester,"['Bakery', 'Coffee and Tea']",Inexpensive,3.3,6
17114017,Number 1 Kitchen,Milford,['Chinese'],Moderately_priced,3.9,9
18705108,Pickles & Bones Barbecue,Milford,"['American', 'BBQ', 'Soul Food']",Moderately_priced,3.0,4
17117239,Boonedocks,Walton,"['American', 'Burger', 'Bar Food']",Moderately_priced,3.1,5
17113926,Montgomery Towne Tavern,Montgomery,['American'],Inexpensive,3.4,7
17113223,Greenie's Sports Bar and Grill,Milford,"['Burger', 'Bar Food', 'Sandwich']",Inexpensive,3.3,9
17113412,Jim & Jack's,Delhi,['American'],Moderately_priced,3.4,7
17112107,Bearcat Lounge,Clifton/Avondale,['American'],Moderately_priced,3.2,5
17116247,Village Grocery,Loveland,['Sandwich'],Inexpensive,3.3,6
17112457,Chef's Cafe,Sharonville,['Sandwich'],Inexpensive,3.5,9
18332495,Joella's Hot Chicken,Crescent Springs/Fort Wright,"['Sandwich', 'Southern']",Moderately_priced,3.1,5
17117346,Nela Bread & Pastry,Milford,"['Desserts', 'European']",Inexpensive,3.1,4
17117923,Panino,Downtown,"['Sandwich', 'Bar Food']",Moderately_priced,3.0,4
17756558,Village Troubador,Forest Park,"['Breakfast', 'Coffee and Tea', 'Sandwich']",Inexpensive,3.2,3
17116750,Frisch's Big Boy,Monfort Heights/White Oak,"['Breakfast', 'Diner', 'Sandwich']",Inexpensive,3.3,4
17115836,Martin's Donuts,Trenton,['Donuts'],Inexpensive,3.5,8
17116920,Eckerlin's Meats,Over-the-Rhine/Mount Auburn,[],Inexpensive,3.4,9
17112053,B-G,Downtown,"['Burger', 'Diner']",Inexpensive,3.0,7
17115781,Johnny's Campus Deli,Oxford,['Sandwich'],Inexpensive,3.4,9
17116141,The Original Pizza Pan,Clifton/Avondale,"['Greek', 'Pizza', 'Sandwich']",Inexpensive,3.4,7
17117028,MIA,Oxford,"['American', 'Italian']",Pricey,3.4,9
17117252,A&A Hitching Post,Mount Orab,"['Breakfast', 'Burger', 'Sandwich']",Inexpensive,3.5,4
17118006,Brass Tap,Clifton/Avondale,"['Pizza', 'Bar Food']",Inexpensive,3.2,5
17822831,Taza Grill,Clifton/Avondale,['Middle Eastern'],Inexpensive,3.1,5
17112559,Chuck E Cheese's,Colerain Township,['Pizza'],Inexpensive,2.8,7
17112646,Courseview Restaurant & Lounge,Mason,['American'],Moderately_priced,3.6,9
17113755,Mark's Donut Shop,Milford,['Donuts'],Inexpensive,3.6,9
17113858,Talon Tavern,Milford,['American'],Inexpensive,3.2,6
17115096,Village Pizza,Newtown,['Pizza'],Inexpensive,3.5,7
17115659,Naing's Garden,Middletown,['Chinese'],Inexpensive,3.6,5
17117577,Clubhouse Sports Grille,West Chester,"['American', 'Bar Food', 'Sandwich']",Inexpensive,3.4,5
17116559,Marco's Pizza,Maineville,['Pizza'],Inexpensive,3.2,7
17116175,Cinnabon,Springdale,['Desserts'],Inexpensive,3.3,9
17117177,Cousin Vinny's Pizza,Symmes,['Pizza'],Moderately_priced,3.4,6
17117290,Frickers,Symmes,"['Burger', 'Sandwich']",Inexpensive,2.6,6
17117700,Buzzard Bay Pub,Fairfield,"['Burger', 'Bar Food']",Inexpensive,3.1,6
17112066,Bagel Stop,Downtown,['Sandwich'],Inexpensive,3.4,7
17112290,Buffalo Wings & Rings,West Chester,"['Bar Food', 'Sandwich']",Moderately_priced,3.3,7
17113480,KFC,Northside,['Fast Food'],Inexpensive,2.0,10
17113623,Little Caesars Pizza,Florence,"['Fast Food', 'Pizza']",Inexpensive,3.3,8
17116376,Oxford Hookah Lounge,Oxford,['International'],Pricey,3.6,8
17117779,Valley Vineyards,Maineville,[],Moderately_priced,3.1,5
17114281,Pizza Hut,St Bernard/Elmwood Place,"['Fast Food', 'Pizza']",Inexpensive,3.5,6
17112520,China Max,Florence,['Chinese'],Inexpensive,3.5,6
